caldt,vwretd,vwretx,ewretd,ewretx,totval
20110103,0.011325,0.011291,0.011427,0.011393,11815016800.00
20110104,-0.001236,-0.001254,-0.005422,-0.005429,11798066500.00
20110105,0.005164,0.005039,0.005480,0.005384,11857520100.00
20110106,-0.001715,-0.002089,-0.001822,-0.001959,11832746800.00
20110107,-0.001755,-0.001757,-0.001302,-0.001308,11812045000.00
20110110,-0.001549,-0.001549,-0.000597,-0.000597,11794102600.00
20110111,0.003829,0.003829,0.004008,0.004008,11839262900.00
20110112,0.009032,0.008924,0.008958,0.008903,11944916900.00
20110113,-0.001697,-0.001697,-0.001111,-0.001111,11924646700.00
20110114,0.007206,0.007172,0.006987,0.006974,12010179900.00
20110118,0.001383,0.001360,0.003128,0.003119,12034375600.00
20110119,-0.009960,-0.010094,-0.012881,-0.012921,11912895900.00
20110120,-0.001058,-0.001059,-0.001908,-0.001912,11894610700.00
20110121,0.002205,0.002183,0.000880,0.000862,11920658600.00
20110124,0.005643,0.005643,0.006066,0.006066,11988075000.00
20110125,0.000400,0.000372,-0.000328,-0.000385,11992532700.00
20110126,0.004330,0.004295,0.006758,0.006686,12044104600.00
20110127,0.002442,0.002392,0.004468,0.004372,12072929000.00
20110128,-0.017916,-0.017941,-0.019091,-0.019176,11856072000.00
20110131,0.007465,0.007465,0.008400,0.008400,11992702700.00
20110201,0.016542,0.016539,0.015073,0.015056,12191073900.00
20110202,-0.002470,-0.002646,-0.002388,-0.002464,12158822400.00
20110203,0.002366,0.002231,0.005072,0.004989,12185947200.00
20110204,0.002751,0.002737,0.005501,0.005444,12218805400.00
20110207,0.006562,0.006548,0.006089,0.006064,12298794500.00
20110208,0.004593,0.004289,0.004255,0.004137,12351565600.00
20110209,-0.002730,-0.002856,-0.002465,-0.002610,12316294900.00
20110210,0.000744,0.000665,0.003784,0.003664,12324562900.00
20110211,0.005651,0.005507,0.006665,0.006516,12392676000.00
20110214,0.002410,0.002213,0.001625,0.001525,12420121300.00
20110215,-0.003153,-0.003281,-0.003298,-0.003338,12379385000.00
20110216,0.006311,0.006133,0.008281,0.008059,12455388700.00
20110217,0.003255,0.003169,0.004602,0.004545,12494801500.00
20110218,0.001846,0.001842,0.001774,0.001766,12516486800.00
20110222,-0.020693,-0.020707,-0.023387,-0.023428,12257132400.00
20110223,-0.006134,-0.006183,-0.009231,-0.009313,12181232300.00
20110224,-0.000795,-0.001028,0.000807,0.000628,12168720900.00
20110225,0.010296,0.010031,0.013984,0.013768,12290626200.00
20110228,0.005120,0.005067,0.004406,0.004329,12350222100.00
20110301,-0.015713,-0.015714,-0.017399,-0.017401,12173761000.00
20110302,0.002000,0.001837,0.003025,0.002882,12196541700.00
20110303,0.017027,0.016987,0.017841,0.017802,12403795000.00
20110304,-0.007280,-0.007284,-0.006721,-0.006729,12313965500.00
20110307,-0.008306,-0.008341,-0.009655,-0.009749,12211289400.00
20110308,0.009110,0.008916,0.010391,0.010126,12320140500.00
20110309,-0.001121,-0.001315,-0.001556,-0.001729,12303938900.00
20110310,-0.018763,-0.018766,-0.018543,-0.018545,12073063900.00
20110311,0.007394,0.007093,0.009379,0.009199,12159120500.00
20110314,-0.005894,-0.005926,-0.006354,-0.006385,12087065400.00
20110315,-0.011073,-0.011076,-0.009915,-0.009928,11952958300.00
