PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,SHROUT,RETX
12060,20110103,GE,GENERAL ELECTRIC CO,20792,18.28000,-0.000547,10654718,-0.000547
12060,20110104,GE,GENERAL ELECTRIC CO,20792,18.61000,0.018053,10654718,0.018053
12060,20110105,GE,GENERAL ELECTRIC CO,20792,18.64000,0.001612,10654718,0.001612
12060,20110106,GE,GENERAL ELECTRIC CO,20792,18.56000,-0.004292,10654718,-0.004292
12060,20110107,GE,GENERAL ELECTRIC CO,20792,18.43000,-0.007004,10654718,-0.007004
12060,20110110,GE,GENERAL ELECTRIC CO,20792,18.51000,0.004341,10654718,0.004341
12060,20110111,GE,GENERAL ELECTRIC CO,20792,18.63000,0.006483,10654718,0.006483
12060,20110112,GE,GENERAL ELECTRIC CO,20792,18.67000,0.002147,10654718,0.002147
12060,20110113,GE,GENERAL ELECTRIC CO,20792,18.60000,-0.003749,10654718,-0.003749
12060,20110114,GE,GENERAL ELECTRIC CO,20792,18.81750,0.011693,10654718,0.011693
12060,20110118,GE,GENERAL ELECTRIC CO,20792,18.60000,-0.011558,10654718,-0.011558
12060,20110119,GE,GENERAL ELECTRIC CO,20792,18.33000,-0.014516,10654718,-0.014516
12060,20110120,GE,GENERAL ELECTRIC CO,20792,18.43000,0.005456,10654718,0.005456
12060,20110121,GE,GENERAL ELECTRIC CO,20792,19.74000,0.071080,10654718,0.071080
12060,20110124,GE,GENERAL ELECTRIC CO,20792,20.04000,0.015198,10654718,0.015198
12060,20110125,GE,GENERAL ELECTRIC CO,20792,19.98000,-0.002994,10654718,-0.002994
12060,20110126,GE,GENERAL ELECTRIC CO,20792,19.92000,-0.003003,10654718,-0.003003
12060,20110127,GE,GENERAL ELECTRIC CO,20792,20.28000,0.018072,10654718,0.018072
12060,20110128,GE,GENERAL ELECTRIC CO,20792,20.20000,-0.003945,10654718,-0.003945
12060,20110131,GE,GENERAL ELECTRIC CO,20792,20.14000,-0.002970,10654718,-0.002970
12060,20110201,GE,GENERAL ELECTRIC CO,20792,20.80000,0.032771,10654718,0.032771
12060,20110202,GE,GENERAL ELECTRIC CO,20792,20.71000,-0.004327,10654718,-0.004327
12060,20110203,GE,GENERAL ELECTRIC CO,20792,20.75000,0.001931,10654718,0.001931
12060,20110204,GE,GENERAL ELECTRIC CO,20792,20.56000,-0.009157,10654718,-0.009157
12060,20110207,GE,GENERAL ELECTRIC CO,20792,20.87000,0.015078,10654718,0.015078
12060,20110208,GE,GENERAL ELECTRIC CO,20792,21.28000,0.019645,10654718,0.019645
12060,20110209,GE,GENERAL ELECTRIC CO,20792,21.31000,0.001410,10654718,0.001410
12060,20110210,GE,GENERAL ELECTRIC CO,20792,21.27000,-0.001877,10654718,-0.001877
12060,20110211,GE,GENERAL ELECTRIC CO,20792,21.33000,0.002821,10654718,0.002821
12060,20110214,GE,GENERAL ELECTRIC CO,20792,21.50000,0.007970,10654718,0.007970
12060,20110215,GE,GENERAL ELECTRIC CO,20792,21.46000,-0.001861,10654718,-0.001861
12060,20110216,GE,GENERAL ELECTRIC CO,20792,21.44000,-0.000932,10654718,-0.000932
12060,20110217,GE,GENERAL ELECTRIC CO,20792,21.52000,0.003731,10654718,0.003731
12060,20110218,GE,GENERAL ELECTRIC CO,20792,21.44000,-0.003717,10654718,-0.003717
12060,20110222,GE,GENERAL ELECTRIC CO,20792,20.82000,-0.028918,10654718,-0.028918
12060,20110223,GE,GENERAL ELECTRIC CO,20792,20.37000,-0.021614,10654718,-0.021614
12060,20110224,GE,GENERAL ELECTRIC CO,20792,20.58000,0.017182,10654718,0.010309
12060,20110225,GE,GENERAL ELECTRIC CO,20792,20.82000,0.011662,10654718,0.011662
12060,20110228,GE,GENERAL ELECTRIC CO,20792,20.92000,0.004803,10618489,0.004803
12060,20110301,GE,GENERAL ELECTRIC CO,20792,20.25000,-0.032027,10618489,-0.032027
12060,20110302,GE,GENERAL ELECTRIC CO,20792,20.32000,0.003457,10618489,0.003457
12060,20110303,GE,GENERAL ELECTRIC CO,20792,20.75000,0.021161,10618489,0.021161
12060,20110304,GE,GENERAL ELECTRIC CO,20792,20.37000,-0.018313,10618489,-0.018313
12060,20110307,GE,GENERAL ELECTRIC CO,20792,20.38000,0.000491,10618489,0.000491
12060,20110308,GE,GENERAL ELECTRIC CO,20792,20.62750,0.012144,10618489,0.012144
12060,20110309,GE,GENERAL ELECTRIC CO,20792,20.63000,0.000121,10618489,0.000121
12060,20110310,GE,GENERAL ELECTRIC CO,20792,20.10000,-0.025691,10618489,-0.025691
12060,20110311,GE,GENERAL ELECTRIC CO,20792,20.36000,0.012935,10618489,0.012935
12060,20110314,GE,GENERAL ELECTRIC CO,20792,19.92000,-0.021611,10618489,-0.021611
12060,20110315,GE,GENERAL ELECTRIC CO,20792,19.61000,-0.015562,10618489,-0.015562
12060,20110316,GE,GENERAL ELECTRIC CO,20792,18.95000,-0.033656,10618489,-0.033656
12060,20110317,GE,GENERAL ELECTRIC CO,20792,19.22000,0.014248,10618489,0.014248
12060,20110318,GE,GENERAL ELECTRIC CO,20792,19.25000,0.001561,10618489,0.001561
12060,20110321,GE,GENERAL ELECTRIC CO,20792,19.72000,0.024416,10618489,0.024416
12060,20110322,GE,GENERAL ELECTRIC CO,20792,19.49000,-0.011663,10618489,-0.011663
12060,20110323,GE,GENERAL ELECTRIC CO,20792,19.53000,0.002052,10618489,0.002052
12060,20110324,GE,GENERAL ELECTRIC CO,20792,19.78000,0.012801,10618489,0.012801
12060,20110325,GE,GENERAL ELECTRIC CO,20792,19.75000,-0.001517,10618489,-0.001517
12060,20110328,GE,GENERAL ELECTRIC CO,20792,19.75000,0.000000,10618489,0.000000
12060,20110329,GE,GENERAL ELECTRIC CO,20792,19.86000,0.005570,10618489,0.005570
12060,20110330,GE,GENERAL ELECTRIC CO,20792,20.11000,0.012588,10618489,0.012588
12060,20110331,GE,GENERAL ELECTRIC CO,20792,20.05000,-0.002984,10618489,-0.002984
12060,20110401,GE,GENERAL ELECTRIC CO,20792,20.34000,0.014464,10618489,0.014464
12060,20110404,GE,GENERAL ELECTRIC CO,20792,20.53000,0.009341,10618489,0.009341
12060,20110405,GE,GENERAL ELECTRIC CO,20792,20.33000,-0.009742,10618489,-0.009742
12060,20110406,GE,GENERAL ELECTRIC CO,20792,20.55000,0.010821,10618489,0.010821
12060,20110407,GE,GENERAL ELECTRIC CO,20792,20.35000,-0.009732,10618489,-0.009732
12060,20110408,GE,GENERAL ELECTRIC CO,20792,20.19000,-0.007862,10618489,-0.007862
12060,20110411,GE,GENERAL ELECTRIC CO,20792,20.18000,-0.000495,10618489,-0.000495
12060,20110412,GE,GENERAL ELECTRIC CO,20792,20.01000,-0.008424,10618489,-0.008424
12060,20110413,GE,GENERAL ELECTRIC CO,20792,19.94000,-0.003498,10618489,-0.003498
12060,20110414,GE,GENERAL ELECTRIC CO,20792,20.00000,0.003009,10618489,0.003009
12060,20110415,GE,GENERAL ELECTRIC CO,20792,20.04000,0.002000,10618489,0.002000
12060,20110418,GE,GENERAL ELECTRIC CO,20792,19.98000,-0.002994,10618489,-0.002994
12060,20110419,GE,GENERAL ELECTRIC CO,20792,20.26990,0.014510,10618489,0.014510
12060,20110420,GE,GENERAL ELECTRIC CO,20792,20.40000,0.006418,10618489,0.006418
12060,20110421,GE,GENERAL ELECTRIC CO,20792,19.95000,-0.022059,10618489,-0.022059
12060,20110425,GE,GENERAL ELECTRIC CO,20792,19.89000,-0.003008,10618489,-0.003008
12060,20110426,GE,GENERAL ELECTRIC CO,20792,20.10000,0.010558,10618489,0.010558
12060,20110427,GE,GENERAL ELECTRIC CO,20792,20.65000,0.027363,10618489,0.027363
12060,20110428,GE,GENERAL ELECTRIC CO,20792,20.60000,-0.002421,10618489,-0.002421
12060,20110429,GE,GENERAL ELECTRIC CO,20792,20.45000,-0.007282,10618489,-0.007282
12060,20110502,GE,GENERAL ELECTRIC CO,20792,20.48000,0.001467,10618489,0.001467
12060,20110503,GE,GENERAL ELECTRIC CO,20792,20.64000,0.007812,10618489,0.007812
12060,20110504,GE,GENERAL ELECTRIC CO,20792,20.27000,-0.017926,10618489,-0.017926
12060,20110505,GE,GENERAL ELECTRIC CO,20792,19.90000,-0.018254,10618489,-0.018254
12060,20110506,GE,GENERAL ELECTRIC CO,20792,20.01000,0.005528,10618489,0.005528
12060,20110509,GE,GENERAL ELECTRIC CO,20792,20.07000,0.002998,10618489,0.002998
12060,20110510,GE,GENERAL ELECTRIC CO,20792,20.30000,0.011460,10618489,0.011460
12060,20110511,GE,GENERAL ELECTRIC CO,20792,20.09000,-0.010345,10618489,-0.010345
12060,20110512,GE,GENERAL ELECTRIC CO,20792,20.14000,0.002489,10618489,0.002489
12060,20110513,GE,GENERAL ELECTRIC CO,20792,19.89000,-0.012413,10618489,-0.012413
12060,20110516,GE,GENERAL ELECTRIC CO,20792,19.76000,-0.006536,10618489,-0.006536
12060,20110517,GE,GENERAL ELECTRIC CO,20792,19.59000,-0.008603,10618489,-0.008603
12060,20110518,GE,GENERAL ELECTRIC CO,20792,19.76000,0.008678,10618489,0.008678
12060,20110519,GE,GENERAL ELECTRIC CO,20792,19.96000,0.010121,10618489,0.010121
12060,20110520,GE,GENERAL ELECTRIC CO,20792,19.62000,-0.017034,10618489,-0.017034
12060,20110523,GE,GENERAL ELECTRIC CO,20792,19.39000,-0.011723,10618489,-0.011723
12060,20110524,GE,GENERAL ELECTRIC CO,20792,19.10000,-0.014956,10618489,-0.014956
12060,20110525,GE,GENERAL ELECTRIC CO,20792,19.22000,0.006283,10618489,0.006283
12060,20110526,GE,GENERAL ELECTRIC CO,20792,19.42000,0.010406,10618489,0.010406
12060,20110527,GE,GENERAL ELECTRIC CO,20792,19.44000,0.001030,10618489,0.001030
12060,20110531,GE,GENERAL ELECTRIC CO,20792,19.64000,0.010288,10605447,0.010288
12060,20110601,GE,GENERAL ELECTRIC CO,20792,19.13000,-0.025967,10605447,-0.025967
12060,20110602,GE,GENERAL ELECTRIC CO,20792,19.09000,-0.002091,10605447,-0.002091
12060,20110603,GE,GENERAL ELECTRIC CO,20792,18.82000,-0.014144,10605447,-0.014144
12060,20110606,GE,GENERAL ELECTRIC CO,20792,18.46000,-0.019129,10605447,-0.019129
12060,20110607,GE,GENERAL ELECTRIC CO,20792,18.48000,0.001083,10605447,0.001083
12060,20110608,GE,GENERAL ELECTRIC CO,20792,18.51000,0.001623,10605447,0.001623
12060,20110609,GE,GENERAL ELECTRIC CO,20792,18.58000,0.003782,10605447,0.003782
12060,20110610,GE,GENERAL ELECTRIC CO,20792,18.32000,-0.013994,10605447,-0.013994
12060,20110613,GE,GENERAL ELECTRIC CO,20792,18.39000,0.003821,10605447,0.003821
12060,20110614,GE,GENERAL ELECTRIC CO,20792,18.60000,0.011419,10605447,0.011419
12060,20110615,GE,GENERAL ELECTRIC CO,20792,18.39000,-0.011290,10605447,-0.011290
12060,20110616,GE,GENERAL ELECTRIC CO,20792,18.44000,0.010876,10605447,0.002719
12060,20110617,GE,GENERAL ELECTRIC CO,20792,18.49000,0.002711,10605447,0.002711
12060,20110620,GE,GENERAL ELECTRIC CO,20792,18.48000,-0.000541,10605447,-0.000541
12060,20110621,GE,GENERAL ELECTRIC CO,20792,18.81000,0.017857,10605447,0.017857
12060,20110622,GE,GENERAL ELECTRIC CO,20792,18.56000,-0.013291,10605447,-0.013291
12060,20110623,GE,GENERAL ELECTRIC CO,20792,18.38000,-0.009698,10605447,-0.009698
12060,20110624,GE,GENERAL ELECTRIC CO,20792,17.97000,-0.022307,10605447,-0.022307
12060,20110627,GE,GENERAL ELECTRIC CO,20792,18.28000,0.017251,10605447,0.017251
12060,20110628,GE,GENERAL ELECTRIC CO,20792,18.44000,0.008753,10605447,0.008753
12060,20110629,GE,GENERAL ELECTRIC CO,20792,18.56000,0.006508,10605447,0.006508
12060,20110630,GE,GENERAL ELECTRIC CO,20792,18.86000,0.016164,10605447,0.016164
12060,20110701,GE,GENERAL ELECTRIC CO,20792,19.20000,0.018028,10605447,0.018028
12060,20110705,GE,GENERAL ELECTRIC CO,20792,19.04000,-0.008333,10605447,-0.008333
12060,20110706,GE,GENERAL ELECTRIC CO,20792,19.05000,0.000525,10605447,0.000525
12060,20110707,GE,GENERAL ELECTRIC CO,20792,19.30000,0.013123,10605447,0.013123
12060,20110708,GE,GENERAL ELECTRIC CO,20792,18.99000,-0.016062,10605447,-0.016062
12060,20110711,GE,GENERAL ELECTRIC CO,20792,18.63000,-0.018957,10605447,-0.018957
12060,20110712,GE,GENERAL ELECTRIC CO,20792,18.38000,-0.013419,10605447,-0.013419
12060,20110713,GE,GENERAL ELECTRIC CO,20792,18.51000,0.007073,10605447,0.007073
12060,20110714,GE,GENERAL ELECTRIC CO,20792,18.53000,0.001081,10605447,0.001081
12060,20110715,GE,GENERAL ELECTRIC CO,20792,18.41000,-0.006476,10605447,-0.006476
12060,20110718,GE,GENERAL ELECTRIC CO,20792,18.29000,-0.006518,10605447,-0.006518
12060,20110719,GE,GENERAL ELECTRIC CO,20792,18.58000,0.015856,10605447,0.015856
12060,20110720,GE,GENERAL ELECTRIC CO,20792,18.79000,0.011303,10605447,0.011303
12060,20110721,GE,GENERAL ELECTRIC CO,20792,19.16000,0.019691,10605447,0.019691
12060,20110722,GE,GENERAL ELECTRIC CO,20792,19.04000,-0.006263,10605447,-0.006263
12060,20110725,GE,GENERAL ELECTRIC CO,20792,18.96000,-0.004202,10605447,-0.004202
12060,20110726,GE,GENERAL ELECTRIC CO,20792,18.56000,-0.021097,10605447,-0.021097
12060,20110727,GE,GENERAL ELECTRIC CO,20792,18.11000,-0.024246,10605447,-0.024246
12060,20110728,GE,GENERAL ELECTRIC CO,20792,18.11000,0.000000,10605447,0.000000
12060,20110729,GE,GENERAL ELECTRIC CO,20792,17.91000,-0.011044,10600337,-0.011044
12060,20110801,GE,GENERAL ELECTRIC CO,20792,17.97000,0.003350,10600337,0.003350
12060,20110802,GE,GENERAL ELECTRIC CO,20792,17.21000,-0.042293,10600337,-0.042293
12060,20110803,GE,GENERAL ELECTRIC CO,20792,17.47000,0.015108,10600337,0.015108
12060,20110804,GE,GENERAL ELECTRIC CO,20792,16.47000,-0.057241,10600337,-0.057241
12060,20110805,GE,GENERAL ELECTRIC CO,20792,16.51000,0.002429,10600337,0.002429
12060,20110808,GE,GENERAL ELECTRIC CO,20792,15.43000,-0.065415,10600337,-0.065415
12060,20110809,GE,GENERAL ELECTRIC CO,20792,15.96000,0.034349,10600337,0.034349
12060,20110810,GE,GENERAL ELECTRIC CO,20792,15.09000,-0.054511,10600337,-0.054511
12060,20110811,GE,GENERAL ELECTRIC CO,20792,15.68000,0.039099,10600337,0.039099
12060,20110812,GE,GENERAL ELECTRIC CO,20792,15.88000,0.012755,10600337,0.012755
12060,20110815,GE,GENERAL ELECTRIC CO,20792,16.39000,0.032116,10600337,0.032116
12060,20110816,GE,GENERAL ELECTRIC CO,20792,16.15000,-0.014643,10600337,-0.014643
12060,20110817,GE,GENERAL ELECTRIC CO,20792,16.23000,0.004954,10600337,0.004954
